Celeron 420 1.6GHz 512K/800MHz .65奈米, $1100 
Celeron 430 1.8GHz 512K/800MHz .65奈米, $1100
Celeron DC-E1200雙核心 1.6GHz/512K/800MHz .65奈米, $1350 

E2180/2.0/1M/800MHZ/775, $2100  熱賣
E2200/2.2/1M/800MHZ/775, $2400 
E2220/2.4/1M/800MHZ/775, $2700  熱賣

Intel Core2 E4500 2.2G/800FSB/雙核心/2M, $3550 
Intel Core2 E4600 2.4G/800FSB/雙核心/2M, $3550 熱賣
Intel Core2 E4700 2.6G/800FSB/雙核心/2M, $4300↘$4200 
Intel Core2 E6550 2.33G/1333FSB/雙核心/4M, $4850 
Intel Core2 E6750 2.66G/1333FSB/雙核心/4M, $5450 
Intel Core2 E7200 2.53G/1066FSB/雙核心/45奈米/3M, $4200↘$4100 熱賣
Intel Core2 E8200 2.66G/1333FSB/雙核心/45奈米/6M, $5150  熱賣
Intel Core2 E8400 3.0G/1333FSB/雙核心/45奈米/6M *每日確認*, $5900  熱賣
Intel Core2 E8500 3.16G/1333FSB/雙核心/45奈米/6M *請先確認*, $8500 

Intel Core2 Quad Q6600-SLACR-G0版本 2.4G/1066FSB/四核/4M*2, $6450 

Intel Q9300 2.5G/1333FSB/四核心/6M快取/.45nm製程 , $8100
Intel Q9450 2.66G/1333FSB/四核心/12M快取/.45nm製程~缺貨中~, $11500↗$12000 
Intel QX9650 3.0G/1333FSB/四核心/12M快取/.45nm製程, $31000 

AM2雙核BE2300 65奈米製程/低電耗45W 512*2 1.9G約同3600+, $1900 

AMD Athlon 1620(盒)2.4G/45W 1M cache/90奈米   , $1200

AMD AM2 4400+ 2.3G/盒裝/雙核心/65W/512K*2/65製程, $1850 熱賣
AMD AM2 4800+ 2.5G/盒裝/雙核心/65W/512K*2/65製程, $2100↗$2200  熱賣
AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, $2800↗$2900  熱賣
AMD AM2 5600+ 2.9G /盒裝/雙核心/65製程, $3450↗$3500 

AMD AM2 6000+ /盒裝/雙核心/125W /1M*2, $4300↗$4400 

AMD AM2 HD8450 2.1G/盒裝/三核心/95W/65nm/512K*3 , $3950↗$4000
AMD AM2 HD8650 2.3G/盒裝/三核心/95W/65nm/512K*3 , $4650↗$4700

AMD AM2+ HD9550 2.2G/盒裝/四核心/95W/65nm/512K*4, $5450↗$5500
AMD AM2+ HD9750 2.4G/盒裝/四核心/125W/65nm/512K*4, $6050↗$6100
AMD AM2+ HD9850 2.5G/四核心/125W/65nm/L2+L3=4MB/黑盒, $6600↗$6800



12345678910"
