name,price
Celeron DC-E3200雙核心 2.4GHz/1M/800MHz .45奈米, 1580

E5300/2.6G/2M/800MHZ/775新架構 45nm, 2200 
Pentium E6300 2.80G/1066FSB/雙核心/45nm/2M, 2580 
Pentium E6500 2.93G/1066FSB/雙核心/45nm/2M, 2930 
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, 3800 
Intel Core2 E7600 3.06G/1066FSB/雙核心/45奈米/3M, 4600 
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M, 5600 

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程, 4950 
Intel Q8400 2.66G/1333FSB/四核心/4M快取/.45nm製程, 5350 
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程, 6100 
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程, 7250 

Intel i7-920-D0版(SLBEJ) 2.66G/4.8FSB/8M/LGA1366, 9300 

Intel I5-750盒裝Core 2.66GHz/8M cache/1156腳位/45nm, 6600 
Intel I7-860盒裝Core 2.80GHz/8M cache/1156腳位/45nm, 9650 
Intel I7-870盒裝Core 2.93GHz/8M cache/1156腳位/45nm, 19400 

AMD AM2 5200+ 散裝無風扇 2.7G /雙核心/65W 1M快取 全新一年保固, 1880 

AMD AM3 AthlonII X2-240/2.8G/65W/45nm/L2 Cache 1MB*2, 1950 
AMD AM3 AthlonII X2-245/2.9G/65W/45nm/L2 Cache 1MB*2, 2100 
AMD AM3 AthlonII X2-250/3.0G/65W/45nm/L2 Cache 1MB*2, 2350 
AMD AM3 PhenomII X2-550黑盒/3.1G/80W/45nm/L3 Cache 6MB, 3250 
AMD AM3 AthlonII X4-620/2.6G/95W/45nm/L2 Cache 512KB*4, 3350 
AMD AM3 PhenomII 四核心 X4-945/3.0G/125W/45nm/L2+L3=8MB, 5430↘5400 
AMD AM3 PhenomII 四核心 X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB, 6150 
AMD AM3 PhenomII 四核心 X4-965黑盒/3.4G/140W/45nm/L2+L3=8MB, 7850 
AMD AM3 PhenomII 四核心 X4-905E/2.5G/65W/45nm/L2+L3=8MB(低功耗), 5380
