name,price
Celeron DC-E1200雙核心 1.6GHz/512K/800MHz .65奈米, 1400

E2180/2.0/1M/800MHZ/775, 2100 
E2200/2.2/1M/800MHZ/775, 2400 
E5200/2.5/2M/800MHZ/775新架構, 2800

Intel Core2 E7200 2.53G/1066FSB/雙核心/45奈米/3M, 3600 
Intel Core2 E7300 2.66G/1066FSB/雙核心/45奈米/3M, 4250
Intel Core2 E8400 3.0G/1333FSB/雙核心/45奈米/6M , 5100 
Intel Core2 E8500 3.16G/1333FSB/雙核心/45奈米/6M  , 5700 
Intel Core2 E8600 3.33G/1333FSB/雙核心/45奈米/6M  , 8400

Intel Core2 Quad Q6600 2.4G/1066FSB/四核/4M*2, 5750 

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , 6990
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , 8400
Intel Q9550 2.83G/1333FSB/四核心/12M快取/.45nm製程 , 10200
Intel QX9650 3.0G/1333FSB/四核心/12M快取/.45nm製程, 30800 

AMD Athlon 1620(盒)2.4G/45W 1M cache/90奈米   , 1100 

AMD AM2 4600+ 2.4G/盒裝/雙核心/65W/512K*2/65製程, 1800
AMD AM2 4800+ 2.5G/盒裝/雙核心/65W/512K*2/65製程, 1900
AMD AM2 5000+ 2.6G/盒裝/雙核心/65W/512K*2/65K奈米製程, 1990
AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, 2300
AMD AM2 5600+ 2.9G/盒裝/雙核心/512K*2/65K奈米製程, 2990
AMD AM2 4050E 2.1G/盒裝/65製程/512*2, 1650
AMD AM2 4450E 2.3G/盒裝/65製程/512*2, 1950
AMD AM2 4850E 2.5G/盒裝/65製程/512*2, 2250

AMD AM2 HD8450/2.1G/三核心/95W/65nm, 3050

AMD AM2+ HD9550 2.2G/盒裝/四核心/95W/65nm/512K*4, 4600
AMD AM2+ HD9850 2.5G/四核心/125W/65nm/L2+L3=4MB/黑盒, 5800
