name,price
Celeron DC-E1400雙核心 2.0GHz/512K/800MHz .65奈米, 1530↘1520

E5200/2.5G/2M/800MHZ/775新架構 45nm, 2250 
E5300/2.6G/2M/800MHZ/775新架構 45nm, 2600 
E5400/2.7G/2M/800MHZ/775新架構 45nm, 2950 
Intel Core2 E7400 2.80G/1066FSB/雙核心/45奈米/3M, 3900 
Intel Core2 E7500 2.93G/1066FSB/雙核心/45奈米/3M, 4650 
Intel Core 2 Duo E8400-E0版 3.0G/1333MHz/雙核心/45奈米/6M, 5750 
Intel Core 2 Duo E8500-E0版 3.16G/1333MHz/雙核心/45奈米/6M, 6550

Intel Q8200 2.33G/1333FSB/四核心/4M快取/.45nm製程 , 5400↘5350 
Intel Q8300 2.50G/1333FSB/四核心/4M快取/.45nm製程 , 6100 
Intel Q8400 2.66G/1333FSB/四核心/4M快取/.45nm製程 , 6200 
Intel Q9400 2.66G/1333FSB/四核心/6M快取/.45nm製程 , 7200 
Intel Q9550-E0版 2.83G/1333FSB/四核心/12M快取/.45nm製程 , 9100 

Intel i7-920-D0版(SLBEJ) 2.66G/4.8FSB/8M/LGA1366, 9600 
Intel i7-940 2.93G/4.8FSB/8M/LGA1366, 19000 

AMD AM2 5200+ 2.7G/盒裝/雙核心/65W/512K*2/65K奈米製程, 1890↘1850 
AMD AM2 7750黑盒+ 2.7G/盒裝/雙核心/95W/65K奈米製程/L2+L3=3MB, 1950 

AMD AM2+ HD8650/2.3G/三核心/95W/65nm, 2700 
AMD AM2+ HD9650 2.3G/四核心/95W/65nm/L2+L3=4MB, 3900 
AMD AM2+ HD9950 2.6G/四核心/95W/65nm/L2+L3=4MB, 4950 
AMD AM2+ PhenomII 四核心 X4-940/3.0G/125W/45nm/L2+L3=8MB, 6600↘6500 

AMD AM3 PhenomII 三核心 X3-710/2.6G/95W/45nm/L3 Cache 6MB, 3950 
AMD AM3 PhenomII 三核心 X3-720黑盒/2.8G/95W/45nm/L3 Cache 6MB, 4600 
AMD AM3 PhenomII 四核心 X4-810/2.6G/95W/45nm/L3 Cache 4MB, 5600 
AMD AM3 PhenomII 四核心 X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB, 8300
